onset_time,stim_type,stim_name,trial_length,stim_size,RGB,corrAns
259.25,3,targ,2.5,3.6,"[0.4596, 0.046, 0.286]",1
262,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
265,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
268.5,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
271,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
273.5,2,bright,2.5,1.6,"[0.56, 0.22, 0.49]",None
276.5,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
279,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
281.75,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
285,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
288.5,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
292,2,bright,3.5,1.6,"[0.56, 0.22, 0.49]",None
295,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
298,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
301.25,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
304.75,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
308.25,3,targ,3.5,3.6,"[0.4596, 0.046, 0.286]",1
310.495,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
314.25,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
316.75,3,targ,2.5,3.6,"[0.4596, 0.046, 0.286]",1
319.5,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
322,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
324.75,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
327.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
330.5,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
333.5,2,bright,3,1.6,"[0.56, 0.22, 0.49]",None
336.75,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
339.75,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
342.75,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
345.5,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
348,2,bright,2.5,1.6,"[0.56, 0.22, 0.49]",None
350.495,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
354,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
356.75,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
360.25,3,targ,3.5,3.6,"[0.4596, 0.046, 0.286]",1
363.75,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
366.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
369,3,targ,2.75,3.6,"[0.4596, 0.046, 0.286]",1
371.75,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
375,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
378.25,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
380.495,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
384.25,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
387.75,2,bright,3.5,1.6,"[0.56, 0.22, 0.49]",None
390.495,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
394,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
397,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
399.75,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
402.25,3,targ,2.5,3.6,"[0.4596, 0.046, 0.286]",1
405.25,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
407.75,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
410.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
413,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
416.25,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
418.75,3,targ,2.5,3.6,"[0.4596, 0.046, 0.286]",1
421.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
423.75,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
427,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
429.75,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
433.25,2,bright,3.5,1.6,"[0.56, 0.22, 0.49]",None
436,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
439,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
442,2,bright,3,1.6,"[0.56, 0.22, 0.49]",None
445,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
448,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
450.5,2,bright,2.5,1.6,"[0.56, 0.22, 0.49]",None
453.75,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
456.75,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
459.75,2,bright,3,1.6,"[0.56, 0.22, 0.49]",None
462.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
464.75,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
468,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
471,2,bright,3,1.6,"[0.56, 0.22, 0.49]",None
474.25,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
477.75,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
481.25,2,bright,3.5,1.6,"[0.56, 0.22, 0.49]",None
484.75,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
488.25,3,targ,3.5,3.6,"[0.4596, 0.046, 0.286]",1
491,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
493.5,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
497,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
500.5,2,bright,3.5,1.6,"[0.56, 0.22, 0.49]",None
504,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
506.75,3,targ,2.75,3.6,"[0.4596, 0.046, 0.286]",1
510.25,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
513.25,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
516.25,2,bright,3,1.6,"[0.56, 0.22, 0.49]",None
519.5,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
522.75,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
525.5,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
528.5,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
531.5,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
534.25,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
537.75,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
540.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
543.25,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
545.75,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
548.5,3,targ,2.75,3.6,"[0.4596, 0.046, 0.286]",1
551.25,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
554.75,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
557.75,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
560.495,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
563.5,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
566,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
569,2,bright,3,1.6,"[0.56, 0.22, 0.49]",None
